tweet_id,text
1479758018451488773,"Каква год да је ситуација код ово двоје, на основу језивих коментара упућених искључиво жени, јасно вам је зашто је у друштву укорењено #nisamprijavila и остаће."
1479757386768338948,"@[user] je poslanica, ne dijelimo svi iste stavove kao ona, ali licemjerno je da podržavamo anonimne slučajeve seksizma i nasilja na #nisamprijavila, a kad se nešto desi javnoj ličnosti tražimo opravdanje za seksistu i krivicu u žrtvi ili njenom ponašanju."
1479754384728805378,"To pitanje što ga nije ostavila nakon prvog šamara, to vam je sve već objašnjeno pod #nisamprijavila."
1479749470090932225,"Samo me zanima hoće li diva Karleuša krivično da goni muža nasilnika, ili će da prevagne životni stil?
Ako odabere ovo drugo, džaba ste krečili #nisamprijavila"
1479744062664105987,"@[user] #nisamprijavila danas, a umri kurvo nekoj drugoj već sutra"
1479743774251270146,@[user] Zgrožena sam. Naročito nakon cele #NisamPrijavila priče. Jaaaadno
1479743126067625988,Podrška za #jelenakarleusa isto kao i za svaku osobu #NisamPrijavila Hajde da budemo ljudi i ako smo Srbi...
1479735003248570368,"Danas neću o vip avaksu ni reč.
Podrška za ženu Jelenu Karleušu koju je muž fizički zlostavljao.
Kad je nasilje u pitanju, sve smo mi žene iste, bez obzira na profesiju i političko opredeljenje.
Zajedno protiv siledžija!
#prijavinasilje
#nisamprijavila"
1479726658601033729,@[user] Žena koja je ovde među prvima napisala #nisamprijavila tvit je juče pisala takve grozote o Karleuši i tome što se dogodilo da sam ostala u šoku. A mene malo šta može šokirati.
1479722274806714368,"@[user] 👍
Čitala sam sve #NisamPrijavila ... tako počnu."
1479717613274116096,"Čitam juče na twitteru salvu uvreda na račun Jelene Karleuše od strane ŽENA a povodom nasilja koje je pretrpela.

Gde su sada svi oni pokreti #MeToo
#NisamPrijavila

Šta kažu Biljana Srbljanović i @[user] 

A da, Karleuša je seljančura.

Ah ta MIZOGINIJA 🤮"
1479709640816537600,"Kroz silne godine linčovanja, ona je branila i štitila NJEGA, BRANILAA JE NJEGAA!? A on nikada nije stao u njezinu odbranu!
Stop nasilju nad ženama! 
#stopnasilju #NisamPrijavila #caosvima #lavica #JK"
1479703093495410689,"@[user] Mislim da nasilje ne treba da ima veze sa imenom i prezimenom žene koja je pretrpela ili trpi. #NisamPrijavila treba da oživi u svakom smislu jer ne bi počeli godinu sa ženom koja je nažalost ubijena i ženom koja je maltretirana.
Danas JK sutra TI,nasilniku ne treba povod."
1479702592779399176,"Drug prijavio policiji nekoliko puta komšiju koji ih uznemirava preglasnom muzikom i koji na sve to bije ženu. Policija zna da je lik psiho i budu u fazonu 'šta je bilo, smiri se, obećaj da nećeš više' i odu. Ne znam da li je ljudima jasno zašto ona nije- #NisamPrijavila"
1479692210220445696,"#NisamPrijavila 
A ko to i kako oceni kada je zena ""zasluzila"" batine?!"
1479688171361378305,"Od ""Puna podrška za ispovest #nisamprijavila"" do  ""I ja bih tukla Karleušu jer se druži s Vesićem. Čudi me da je nije ranije prebio!""
O mali moji licemeri, prikriveni nasilnici."
1479602789638680580,"@[user] @[user] Nikada nisam krila šta sam proživela, osim što ni ja #nisamprijavila. Sada, kada imam ćerkicu, svesnija sam nego ikad koliko je potrebno neprekidno podizati svest o tome i otvoreno govoriti."
1479599218134290438,"Jučer #nisamprijavila a danas ""Pravda za Duska"". Sramite se!"
1479599140854288384,Ajaooo krecu opet tvitovi #nisamprijavila spasavaj se ko moze
1479595714665713669,"Svim devojkama koje se smeju smaru Duska Tosica i pljuju Jelenu zelim da isto osete i da zavrse na #nisamprijavila . ♥️ Rekla sam sta Sam rekla, boli me kurac, sram vas bilo!! #caosvima"
1479579787387715585,"@[user] pa prilicno razocaravajuce, obzirom na #nisamprijavila od pre neki dan, sta smo sve imali prilike da procitamo."
