tweet_id,text,trust_expressed,anger_expressed,sadness_expressed,surprise_expressed,fear_expressed,disgust_expressed,joy_expressed,anticipation_expressed,trust_evoked,anger_evoked,sadness_evoked,surprise_evoked,fear_evoked,disgust_evoked,joy_evoked,anticipation_evoked
'1475173852384796678,"#NisamPrijavila Pričao mi je kako me jedino on voli, kako su bliski ljudi koji bi me mogli zaštiti od njega loši po mene i ne vole me, izolovao me je od sveta, ""ne bih te varao da nisi debela"".. još daleko gore stvari mi je uradio ali nisam spremna da pričam o tome #nisisama https://t.co/1zcZaDRSFt",0.024,0.137,0.008,0.077,0.107,0.018,0.104,0.028,0.057,0.017,0.005,0.053,0.044,0.032,0.024,0.008
'1475173824979210241,"Čoveku koji jedino poseduje čekić sve liči na ekser. Često se tako i nasilje nad ženama analizira.

A odgovor je višeslojan:

Niz

1. kulturološki: #nisamprijavila daje uvid u indoktrinaciju žena da ćute i trpe

2. neposredno okruženje: kao posledica 1. ili iz drugih razloga…",0.037,0.102,0.045,0.033,0.072,0.015,0.123,0.043,0.055,0.002,0.026,0.042,0.001,0.074,0.067,0.013
'1475173348858642433,Ja cu o svom #Nisamprijavila  pricati za par godina na sudu kad i sama zavrsim fakultet i postanem advokat,0.015,0.082,0.108,0.024,0.062,0.036,0.075,0.071,0.082,0.021,0.007,0.078,0.046,0.023,0.034,0.035
'1475173324552560643,brate sto te toliko cima sta zene pisu na tagu #nisamprijavila sto uopste brate citas to ako smatras da izmisljaju idi odigraj neki tiket izudaraj aparat kad vec ne mozes da im pomognes znaci cuti kenjaj kockaj se,0.062,0.106,0.080,0.005,0.109,0.010,0.064,0.082,0.043,0.040,0.084,0.034,0.059,0.002,0.031,0.039
'1475173230239526923,"#nisamprijavila i ne mogu još uvek. Nije bilo jednom.  Drugarica, sada kuma i ja uspele smo da pobegnemo iz auta iako joj je on držao nož ispod grla. Rekla sam da je pusti da ću prvo ja. Ona se zaledila. Kad ju je pustio i krenuo napolje zgrabila sam je izbezumljenu.Pobegle smo👇",0.027,0.102,0.012,0.032,0.113,0.018,0.157,0.057,0.028,0.027,0.037,0.077,0.016,0.038,0.024,0.043
'1475173105354133506,"Moja drugarica je bila silovana dok je bila bolesna i pod temperaturom, a njena drugarica se naljutila na nju jer se njoj svidjao taj silovatelj. Ona je jedna od #NisamPrijavila, niko joj ne bi vjerovao zbog njene “reputacije”, a tu drugaricu je kasnije ubio njen tadasnji decko",0.005,0.096,0.021,0.034,0.144,0.021,0.092,0.068,0.027,0.018,0.037,0.066,0.057,0.052,0.044,0.025
'1475173099326914570,"Imali smo #metoo. Onda je Jelena Veljača pomagala žrtvama u regiji svojim aktivizmom. Pa je Nana Nadarević kroz svoje djelovanje davala nadu svima da će ih neko čuti. Pa je nastalo i #nisiSama, kasnije  #nisamTražila, a ovih dana i #nisamPrijavila.

Iza par tagova hiljade žena.",0.067,0.096,0.014,0.026,0.100,0.058,0.118,0.077,0.038,0.005,0.050,0.006,0.009,0.055,0.076,0.032
'1475173093110796289,#NisamPrijavila is #yugosplaining of the year!,0.002,0.080,0.054,0.043,0.044,0.011,0.077,0.036,0.001,0.034,0.054,0.008,0.013,0.021,0.047,0.020
'1475173071405424640,#nisamprijavila ko je rekao da smo pisale zbog lajkova? Ko je rekao da će nam pomaći stiker? https://t.co/yOnk0I3yjD,0.065,0.142,0.002,0.054,0.075,0.000,0.004,0.062,0.032,0.036,0.036,0.004,0.042,0.002,0.031,0.012
'1475173058533109760,"Još o #nisamPrijavila : frendica mi se povjerila da ju dodiruje profesor na Filozofskom fakultetu u Splitu. Slao joj je i lascivne poruke. Nije nikad prijavila ni dekanu ni policiji jer se bojala da tako neće nikad diplomirat. Realno, tako bi i bilo jer smo 💩 od sustava",0.074,0.067,0.029,0.042,0.043,0.055,0.084,0.080,0.028,0.001,0.007,0.036,0.027,0.057,0.009,0.014
'1475173034818420747,"To što ti nijesi imao slična iskustva, ne znači da su priče iz #NisamPrijavila lažne. Budi srećan što nijesi i pruži podršku ovima što jesu",0.001,0.143,0.064,0.015,0.105,0.017,0.076,0.077,0.032,0.007,0.021,0.028,0.048,0.026,0.073,0.031
'1475172775459438598,Uđete u #NisamPrijavila i bude vam jasno u kakvom mi paklu od svijeta živimo,0.028,0.138,0.020,0.039,0.076,0.034,0.083,0.066,0.022,0.027,0.018,0.053,0.060,0.008,0.038,0.049
'1475172651983413250,"#NisamPrijavila jer me je bivisi decko ubedio da sam to zelela iako sam placuci pokusala da ga skinem sa sebe, dok u jednom trenutku nisam odustala i ubedila sebe da sam to zelela. Najgore od svega, nisam prva devojka kojoj je slicno napravio.",0.033,0.137,0.025,0.037,0.085,0.087,0.172,0.038,0.013,0.010,0.007,0.026,0.011,0.012,0.008,0.024
'1475172626788237316,"#NisamPrijavila jer je naišla policija i videla kako me pijan na sred ulice šutnuo u stomak, ja ovako sitna pala metar dalje. Samo iz razloga što sam rekla da je pijan i da treba da ide kući. Odveden na trežnjenje 12h. Ubrzo smo raskinuli.
Ona vaćarenja po osnovnoj školi ⬇️",0.023,0.081,0.067,0.046,0.083,0.000,0.109,0.085,0.018,0.001,0.003,0.112,0.003,0.001,0.062,0.051
'1475172397473013760,upravo citam #NisamPrijavila i ne mogu da vjerujem kroz sta zene prolaze divim se svakoj ikad❤️,0.070,0.077,0.101,0.075,0.080,0.011,0.117,0.074,0.010,0.009,0.003,0.061,0.009,0.035,0.021,0.057
'1475172346700963843,"Koliko god sam preneražen količinom nasilja i ozlojeđen odnosom društva prema žrtvama #NisamPrijavila, javlja mi se nada da zajedničkom snagom možemo menjati, lečiti i unapređivati celo društvo... Beskrajna podrška svim žrtvama... Kreirajmo društvo BEZ STRAHA...",0.077,0.167,0.013,0.019,0.068,0.004,0.002,0.060,0.013,0.039,0.025,0.026,0.040,0.024,0.057,0.024
'1475172336580108296,"Dok čitam sve ove  #NisamPrijavila priče, prisećam se prošlosti, za koju mi je trebalo dosta vremena da je potisnem negde, saosećam se sa svim devojkama/ženama, ali isto tako i muškarcima koji prolaze kroz bilo kakvo nasilje, bilo to fizičko ili psihičko isto je!❤️",0.048,0.126,0.033,0.081,0.076,0.044,0.147,0.092,0.029,0.024,0.036,0.016,0.035,0.027,0.053,0.046
