tweet_id,text,trust_expressed,anger_expressed,sadness_expressed,surprise_expressed,fear_expressed,disgust_expressed,joy_expressed,anticipation_expressed,trust_evoked,anger_evoked,sadness_evoked,surprise_evoked,fear_evoked,disgust_evoked,joy_evoked,anticipation_evoked
'1475469623793528832,"#NisamPrijavila jer smo uvek mi krive, mi smo izazvale",0.086,0.114,0.024,0.003,0.113,0.023,0.093,0.083,0.056,0.020,0.013,0.010,0.019,0.070,0.054,0.020
'1475469613211295749,"#NisamPrijavila 

(znam, znam, al jbg volim crni humor) https://t.co/Ojx1OVjqK5",0.060,0.111,0.014,0.009,0.046,0.011,0.091,0.021,0.007,0.039,0.016,0.049,0.045,0.019,0.041,0.024
'1475469561973596162,"Zamislite kakva je frka ovim nasilnicima sad, da im se partneri i žrtve ne oglase uz #NisamPrijavila",0.015,0.112,0.021,0.048,0.095,0.049,0.055,0.026,0.019,0.048,0.066,0.017,0.071,0.039,0.011,0.086
'1475469451424194561,"Ivana udaj se × 1 = kmeeee!!!
Bisera krmačo × 1001 = yesss😁

#NisamPrijavila 
Marin Dvor Limited Edition®",0.022,0.093,0.075,0.017,0.138,0.039,0.066,0.082,0.054,0.018,0.022,0.090,0.032,0.023,0.030,0.014
'1475469128953704458,"Drugarica koja sada ima 37. godina priča kako je u Aleksincu profesor devojkama na ispitima stavljao vizit karticu u index sa porukom da mu se jave za sve ispite koje on drži. 

Niko nikad #nisamprijavila, a nju je obarao osam puta na jednom ispitu jer mu se nije javila. https://t.co/mur8PEfyHe",0.032,0.117,0.019,0.003,0.044,0.028,0.060,0.069,0.011,0.041,0.041,0.027,0.045,0.067,0.027,0.035
'1475468139156619264,"#нисампријавила #nisamprijavila

Међународна акција што није заобишла Србију⬇️

(све се ради на промоцији Балкана🤑🤑🤑) https://t.co/qhWLBD1IuX",0.028,0.137,0.036,0.003,0.066,0.029,0.066,0.030,0.030,0.026,0.021,0.021,0.049,0.039,0.072,0.035
'1475468135423688709,"@[user] @[user] Nisam ni rekla SVE žene, niti SVI muškarci. Pričamo o stvarnim žrtvama nekih izopačenih umova, koji su vrlo verovatno i sami nekad bili žrtve. I medju njima ima i žena i muškaraca, doktora i stolara, ratara i atomskih fizičara. S tim da su min. 95% #NisamPrijavila napisale žene.",0.030,0.123,0.070,0.043,0.041,0.013,0.152,0.082,0.043,0.018,0.012,0.057,0.005,0.040,0.066,0.029
'1475468134840741888,dobar dan svima osim onima koji učestvuju u sistemskoj opresiji žena #NisamPrijavila,0.035,0.090,0.053,0.047,0.076,0.025,0.042,0.061,0.056,0.021,0.028,0.095,0.016,0.002,0.017,0.041
'1475467878442934281,"Važni telefoni na sledećem linku https://t.co/FgRH9OrNHU

#nisamprijavila #nisisama #stopnasiljunadženama https://t.co/IOeLTOSEhy",0.050,0.100,0.012,0.068,0.053,0.034,0.016,0.042,0.034,0.051,0.047,0.006,0.001,0.023,0.038,0.020
'1475467864643715072,"Nijedan medij u Srbiji se ne bavi #NisamPrijavila,što ne treba da nas čudi jer ne bave se ni institucije koje su plaćene za to.",0.019,0.107,0.028,0.019,0.141,0.037,0.076,0.044,0.029,0.054,0.030,0.053,0.030,0.001,0.020,0.041
'1475467113221574662,"@[user] ovo je sve pisano na konto #NisamPrijavila iskreno zeludac mi se okrece 3 dana koliko je nasilja nad zenama. Prvo zena ne sme finansijski da je zavisna od muza, a onda sve ostalo podrska institucija, podela posla, promena zakona imam jos par ideja koje ce biti prosledjene...",0.062,0.109,0.070,0.050,0.046,0.035,0.099,0.029,0.043,0.007,0.035,0.087,0.001,0.022,0.041,0.008
'1475466575146885123,#NisamPrijavila  zato sto mislim da nista ne moze da se uradi i da niko nece da veruje.,0.051,0.113,0.026,0.023,0.104,0.064,0.096,0.045,0.026,0.019,0.026,0.015,0.028,0.055,0.013,0.041
'1475466251128430594,"Čitao sam juče ( a malo i slušao) #NisamPrijavila ispovesti i stvarno mi je trebalo dugo vremena da dođem sebi. Možda i zato što sam odrastao u porodici u kojoj, za 25 godina skladnog braka (pre nego je otac prerano otišao) nikada nisam čuo ni povišen ton sa obe strane 1/3",0.039,0.124,0.035,0.034,0.137,0.003,0.134,0.033,0.024,0.006,0.001,0.033,0.009,0.006,0.061,0.041
'1475466084706832391,"Imam malog sina. I zamisli sad da on  bude razlog što neko piše #NisamPrijavila . Život sam promašio. I svoj i njegov i te žene. Hajde da vratimo sramotu. Privatnu, ličnu, od svojih, od lošeg dela sebe. Kazna nikog nije uplašila. Sramota je mnoge ispravila pre nego unakaze nekoga",0.016,0.181,0.032,0.011,0.070,0.008,0.121,0.050,0.055,0.002,0.030,0.061,0.019,0.018,0.039,0.033
'1475465684809363457,"#NisamPrijavila Da li znate koliko ima ljudi za koje je jedan šamar ništa posebno i da se ne treba obazirati?! I da je i ona kriva što je dobila batine. I da ne treba prijavljivati nasilnika nadležnim organima kako deca ne bi pomislila da im je otac nasilnik...
Da poludiš!!! 🤬",0.011,0.116,0.031,0.054,0.117,0.019,0.132,0.058,0.024,0.027,0.047,0.023,0.031,0.001,0.048,0.005
'1475465600822562819,"#nisamprijavila 
Savet I: oslonite se na one u koje imate poverenja. Što pre!

Savet II: potražite pomoć lekara. Zbog psiho fizičkog zdravlja ali i zbog prikupljanja dokaza.

Savet III: 
od policije NE očekujte saosećanje, INSISTIRAJTE na poštovanju procedura. 

#NisamPrijavila",0.007,0.146,0.041,0.052,0.032,0.012,0.096,0.062,0.033,0.010,0.022,0.069,0.002,0.022,0.082,0.004
'1475465263856369668,"Treba napraviti neku bazu podataka u koju lepo svako ko je zlostavljan moze da ubaci sliku i podatke o nasilniku...
#NisamPrijavila",0.006,0.109,0.011,0.035,0.101,0.035,0.061,0.067,0.046,0.028,0.046,0.071,0.001,0.022,0.037,0.024
'1475465101331386373,"#nisamprijavila jer me uverio da sam ja kriva,da ne vredim,jer me stid moje slabosti,jer oni koji su znali nisu razumeli zašto nisam otišla i zašto #nisamprijavila Sramota,stid,strah!Ne osudjujte i ako ne razumete!Podrzite i ohrabrite!Vaspitajte i sinove i ćerke da budu ljudi!",0.017,0.111,0.025,0.032,0.085,0.000,0.075,0.004,0.035,0.050,0.025,0.070,0.035,0.011,0.053,0.028
'1475464838126129162,"kad god se sjetim babine rečenice ‘meni je od svega najbitnije i najmilije to što niko nije znao jer je on ovako u društvu normalan’ zaledi mi se krv u žilama

#NisamPrijavila",0.015,0.169,0.004,0.011,0.093,0.026,0.086,0.043,0.032,0.031,0.051,0.057,0.012,0.035,0.001,0.011
'1475464832505860096,"@[user] @[user] Imala i tada svoj stan i platu od nekoliko K €.

#NisamPrijavila kada me je prvi put udario, naša ćerka je imala 2 godine. 

I bogati plaču.",0.032,0.067,0.003,0.075,0.053,0.035,0.096,0.082,0.071,0.020,0.000,0.026,0.017,0.000,0.017,0.041
'1475464720945659905,Dusa me boli od #NisamPrijavila tvitova 🥺🫀,0.024,0.040,0.021,0.078,0.058,0.002,0.079,0.035,0.066,0.004,0.030,0.013,0.059,0.009,0.026,0.062
'1475464657313972224,"#NisamPrijavila i ne znam da li ću ikada.
Zato što se bojim za svoj život.
Zato što sam godinama psihički zlostavljana i ne znam da li imam snage da prijavim.
Zato što je mala opština i poznaje sve policajce koji su mu i prijatelji.
Zato što me nije nikada 'jako' udario, kako  ⬇️",0.031,0.145,0.045,0.002,0.051,0.043,0.129,0.018,0.041,0.018,0.003,0.071,0.039,0.021,0.007,0.000
'1475464452036349956,Za tri dana preko 16.000 objava na heštegu #nisamprijavila. Potpuni poraz društva i države,0.015,0.158,0.076,0.017,0.129,0.017,0.090,0.091,0.000,0.018,0.009,0.020,0.047,0.070,0.066,0.039
'1475464449817550852,"#NisamPrijavila je istorijski moment za Srbiju i region. Hvala hrabrim ženama i svima koji čine da pokret raste. Muškarci koji su podržali, podelili ili tiho ispratili ovaj momenat - sada je trenutak da razgovarate sa svojim ortacima, kolegama, braćom, očevima.",0.025,0.178,0.036,0.023,0.061,0.026,0.082,0.094,0.060,0.030,0.014,0.054,0.041,0.025,0.001,0.040
'1475464235870310403,Ne smem ni da kažem šta sve #NisamPrijavila,0.034,0.094,0.073,0.027,0.101,0.027,0.051,0.027,0.047,0.034,0.017,0.059,0.028,0.022,0.050,0.045
'1475463977857699841,"Citam ove #NisamPrijavila . Reko bi covjek na zapadu sve civilizovano i hriscanski, kad ono nije.",0.053,0.138,0.066,0.052,0.089,0.026,0.059,0.079,0.022,0.036,0.013,0.007,0.007,0.001,0.031,0.052
'1475463744587186176,"@[user] @[user] @[user] Tema odnosi u obitelji se spontano nadovezala na #nisamprijavila,kao primjer cestog sustavnog patrijarhalnog ugnjetavanja zenske djece/kceri unutar obitelji.
Vi ste tu upali sa svojim rijedjim nego cescim primjerom. Vase odgovore gledam sukladno mjestu na kojemu su se pojavili.",0.007,0.164,0.063,0.066,0.042,0.002,0.106,0.065,0.012,0.002,0.051,0.090,0.005,0.001,0.034,0.019
'1475463569311477766,"Šta još #NisamPrijavila da prijavim?Sve ćemo vas prijaviti, bando partijska i bratijska.",0.023,0.143,0.055,0.028,0.082,0.021,0.031,0.136,0.036,0.014,0.031,0.052,0.004,0.068,0.004,0.059
'1475462944955809798,"Dobar je trenutak da vratimo ovu pesmu i važnu temu koju je obradila kao podršku ženama koje su podelile svoje iskustvo na tagu #NisamPrijavila. 

https://t.co/Zft2MMb19D",0.014,0.130,0.032,0.053,0.079,0.023,0.046,0.087,0.032,0.011,0.002,0.062,0.006,0.004,0.054,0.043
'1475462820695314435,Problem su ljudi kao Vi #nisamprijavila https://t.co/rTtXWwsQ1H,0.041,0.111,0.022,0.062,0.073,0.020,0.069,0.036,0.009,0.015,0.078,0.032,0.012,0.009,0.044,0.034
'1475462789229600777,"Što se tiče #NisamPrijavila Mene je nasilnik prijavio jer sam branio žrtvu od njega. Policija je došla, napisala njemu prijavu i rekli da će mu tek jebati mater ako mu se ponovi",0.036,0.162,0.014,0.022,0.107,0.006,0.101,0.046,0.046,0.022,0.024,0.070,0.074,0.051,0.032,0.040
'1475462683575074820,"Umesto sto ćerki kažete čuvaj se kada ide u grad, recite sinu da postuje žene #NisamPrijavila",0.035,0.075,0.064,0.062,0.062,0.024,0.080,0.014,0.037,0.003,0.018,0.071,0.003,0.012,0.025,0.013
'1475462532223623168,"Moja majka je prijavila PP Split i šamar i ganjanje nožem od strane muža, kad je policajac čuo da on ima 40+ god, rekao je: ""On je star da se mijenja,ako IMATE GDJE, skupite se i idite"" Koliko njih nije imalo gdje. Ali ovo je bilo 90tih, sad je drugačije, zar ne? #NisamPrijavila",0.036,0.117,0.043,0.049,0.066,0.020,0.162,0.107,0.036,0.001,0.009,0.065,0.056,0.031,0.031,0.006
'1475462521620512768,"Pratim ove #NisamPrijavila slučajeve i pitam se, imate li vi očeve, braću, rođake...moja sestra od strica je imala! Samo jednom ju je odgurnuo uz žešće psovke i pretnje! Nakon ""lagane intervencije"" nije mu trebala sudska zabrana, sam je zaobilazio u širokom luku!",0.012,0.076,0.048,0.017,0.106,0.050,0.076,0.064,0.017,0.013,0.000,0.028,0.045,0.029,0.041,0.033
'1475462060720992260,"stvari? Koliko ja vidim iz priča #nisamprijavila to su
1) neprepoznavanje nasilja, strah i stid da se isto prijavi, i sve na tom tragu
2) institucije i službe koje NE RADE SVOJ POSAO
1) se teže menja jer je društvena stvar, a 2) može mnogo brže da se promeni",0.037,0.126,0.049,0.005,0.112,0.015,0.095,0.061,0.012,0.032,0.001,0.078,0.003,0.045,0.053,0.046
'1475462058686750724,"Vidim da se #nisamprijavila u kratkom roku pretvorilo dobrim delom u ,,kulturni rat"" - diskusije o srpstvu, patrijarhatu, kakav je profil onih koji relativizuju ili propagiraju hešteg, bla bla bla. Svaka čast na potpunom promšaju poente, stvarno. A da se fokusiramo na bitne",0.031,0.036,0.062,0.084,0.109,0.027,0.087,0.047,0.000,0.001,0.019,0.043,0.040,0.011,0.043,0.092
'1475461823424090126,"""Ako čovek doživljava ljubav po principu posedovanja, to znači da on teži da liši objekta svoje ""ljubavi"" slobode i da ga drži pod kontrolom. Takva ljubav ne daruje život, već ga davi, uništava, guši, ubija"". 

#NisamPrijavila https://t.co/thqXVsVMqa",0.051,0.103,0.025,0.001,0.132,0.037,0.060,0.044,0.010,0.027,0.043,0.078,0.021,0.011,0.031,0.010
'1475461459954094086,"#NisamPrijavila u državi gde predsednik javno kaže ,,TUCITE ŽENE U SVOJA ČETIRI ZIDA,,",0.085,0.137,0.008,0.033,0.045,0.016,0.146,0.071,0.031,0.001,0.086,0.028,0.024,0.020,0.072,0.044
'1475461442933567488,"#NisamPrijavila  jer ""ti si kriva""...",0.044,0.116,0.038,0.060,0.126,0.074,0.084,0.005,0.090,0.001,0.012,0.027,0.015,0.029,0.030,0.091
'1475461223449694215,"Danas u Pregledu dana saznajemo šta nam prijavljuje #nisamprijavila 

Pogledajte od 20h na Nova S https://t.co/YxlcMTldeu",0.047,0.121,0.036,0.025,0.132,0.039,0.033,0.042,0.037,0.021,0.003,0.120,0.022,0.019,0.029,0.030
'1475461201236799488,#NisamPrijavila zato što sam imala 5 godina i nisam bila svesna traume koje sam doživela. Nisam prijavila zato sto mu je otac policajac i živi u blizini. Nisam prijavila zato sto se plasim osude.,0.026,0.113,0.032,0.002,0.083,0.039,0.136,0.012,0.061,0.023,0.017,0.094,0.057,0.062,0.016,0.010
'1475461047914233861,"@[user] Jel' bolje ovako:
#NisamPrijavila je #nebitno u najčistijoj formi. Zašto feministi ne rešavaju rak koji ubije dnevno 30 žena evo ni sam ne znam. Npr:
#NisamPrijavilaLošeUsloveUBolnici #NisamPrijavilaDoktoraAmatera #NisamPrijavilaKvrgu
#NisamPrijavilaPregled #NisamPrijavilaHPV",0.044,0.108,0.052,0.007,0.039,0.029,0.056,0.056,0.024,0.026,0.035,0.049,0.001,0.022,0.045,0.035
'1475461040456536065,#nisamprijavila jer sam ja kriva što sam sjela u auto kad mi je ponudio prijevoz do kuće. Komšija i porodični prijatelj. Čovjek koji mi dedo može biti.,0.019,0.107,0.019,0.054,0.129,0.007,0.124,0.024,0.016,0.014,0.004,0.062,0.004,0.008,0.019,0.002
'1475460884067762188,"#NisamPrijavila je #nebitno u najčistijoj formi. Zašto feministi ne rešavaju rak koji ubije dnevno 30 žena? Npr:
#NisamPrijavilaLošeUsloveUBolnici #NisamPrijavilaDoktoraAmatera #NisamPrijavilaKvrgu
#NisamPrijavilaPregled #NisamPrijavilaHPV",0.048,0.108,0.047,0.003,0.041,0.011,0.063,0.048,0.024,0.017,0.033,0.050,0.003,0.021,0.051,0.003
'1475460365022633995,"Great to see Serbia on this list. But knowing about the position of women in society, especially after all #NisamPrijavila, #NisiSama, #MeToo confessions is devastating! Would be interesting to hear what Serbia's female PM @[user] thinks about it? https://t.co/t2biQKl2oF",0.002,0.025,0.032,0.058,0.014,0.000,0.026,0.038,0.067,0.031,0.057,0.040,0.038,0.026,0.058,0.001
'1475460251021422599,"#nisamprijavila jer mi je mama rekla da ne prijavim zbog načina na koji se društvo odnosi prema ženama koje prijave. ne prijaviti je bilo manje zlo iz njene pozicije. ni ona, naravno, nije prijavila svoje.",0.038,0.138,0.004,0.019,0.079,0.016,0.133,0.029,0.009,0.005,0.023,0.077,0.022,0.033,0.042,0.027
'1475460153436778499,"Tema #nisamprijavila je jedna od  najmucnijih na Twitteru..ja sam imala tu sreću pa se ne sjećam da sam ikad bila zlostavljana ni doma ni drugdje..jednom dok sam bila srednjoškolka bila sam blizu tome, ali srećom pronasao se jedan dečko koji je stao uz mene bez da me poznavao,ali",0.009,0.130,0.046,0.061,0.081,0.025,0.096,0.065,0.076,0.007,0.004,0.110,0.025,0.006,0.022,0.026
'1475459853439098884,"@[user], @[user] evo dataseta #NisamPrijavila za NLP analizu i ekstrakciju tema u kojima je SR društvo teško omanulo! Umesto da se deca uče kritičkoj analizi diskursa, vaspitavaju ih tabloidi na objektivizaciji ženskog tela, počev od sisa ministarki!😱 SOS je, reagujte!!! https://t.co/CDjgWm27YU",0.016,0.132,0.022,0.042,0.024,0.058,0.010,0.079,0.006,0.068,0.077,0.033,0.043,0.030,0.054,0.043
'1475459842529767426,"@[user] Može ovako:
#NisamPrijavila je #nebitno u najčistijoj formi. Zašto feministi ne rešavaju rak koji ubije dnevno 30 žena evo ni sam ne znam. Npr:
#NisamPrijavilaLošeUsloveUBolnici #NisamPrijavilaDoktoraAmatera #NisamPrijavilaKvrgu
#NisamPrijavilaPregled #NisamPrijavilaHPV",0.040,0.106,0.054,0.005,0.038,0.020,0.056,0.055,0.016,0.021,0.023,0.048,0.006,0.028,0.038,0.031
'1475459749944700930,"@[user] Mislio sam više:
#NisamPrijavila je #nebitno u najčistijoj formi. Zašto feministi ne rešavaju rak koji ubije dnevno 30 žena evo ni sam ne znam. Npr:
#NisamPrijavilaLošeUsloveUBolnici #NisamPrijavilaDoktoraAmatera #NisamPrijavilaKvrgu
#NisamPrijavilaPregled #NisamPrijavilaHPV",0.052,0.102,0.044,0.000,0.053,0.012,0.063,0.046,0.029,0.016,0.022,0.042,0.019,0.037,0.031,0.018
'1475459730109870080,"#NisamPrijavila jer je obiteljski prijatelj godinama, ima kćer stariju od mene, prema svima se ponasa dobro i posteno, nebi povjerovali, a meni je bilo 15 godina. Nicim izazvan samo je krenuo...",0.034,0.152,0.035,0.068,0.083,0.035,0.088,0.052,0.104,0.022,0.002,0.014,0.035,0.039,0.023,0.008
'1475459388769026049,"Mislio sam više:
#NisamPrijavila je #nebitno u najčistijoj formi. Zašto feministi ne rešavaju rak koji ubije dnevno 30 žena evo ni sam ne znam. Npr:
#NisamPrijavilaLošeUsloveUBolnici #NisamPrijavilaDoktoraAmatera #NisamPrijavilaKvrgu
#NisamPrijavilaPregled #NisamPrijavilaHPV",0.071,0.107,0.031,0.007,0.057,0.012,0.072,0.046,0.030,0.019,0.021,0.037,0.025,0.036,0.041,0.003
'1475459079539679248,ogromna podrška svim ženama koje su se oglasile uz #NisamPrijavila a podjednaka i onima koje nisu a prošle su i prolaze kroz iste ili slične stvari ❤,0.053,0.138,0.044,0.057,0.075,0.027,0.125,0.064,0.003,0.003,0.016,0.113,0.001,0.001,0.036,0.065
'1475458816099692544,"Raspadam se već dva dana čitajući sve ove ispovesti #nisamprijavila. Koliko je zapravo manijaka, nasilnika i psihopata medju nama i koliko je života uništeno zbog takvih ljudi.",0.058,0.098,0.088,0.033,0.100,0.002,0.048,0.103,0.028,0.023,0.026,0.092,0.055,0.024,0.046,0.010
'1475458101969104900,"#NisamPrijavila jer pored sebe ima policiju i vlast, a iza sebe mali milion krivičnih djela. Nisam prijavila jer ""šta je moja riječ naspram njegove"". Nisam prijavila jer bih bila ""kurva"". Nisam prijavila zbog porodice i društva. Nisam prijavila jer sam žena!",0.049,0.152,0.021,0.073,0.109,0.002,0.126,0.033,0.027,0.026,0.004,0.042,0.014,0.044,0.011,0.022
'1475457065472647177,"A sto se #NisamPrijavila tice, prijavila sam. Komsiju koji me nije seksualno napao, ali jeste fizicki. Prvo je udario mog psa, kad sam dreknula na njega, slomio mi je metlu o ledja. Sudili se, platili oboje kaznu od 100e za narusavanje javnog reda",0.028,0.134,0.056,0.006,0.114,0.017,0.094,0.079,0.001,0.039,0.009,0.080,0.036,0.044,0.020,0.003
'1475456897142640641,"@[user] #NisamPrijavila znači da je još živa, rak UBIJE 30 žena svaki dan. Šta je veći problem žena, šamar ili rak, evo ni sam ne znam.",0.052,0.176,0.077,0.033,0.027,0.031,0.106,0.056,0.029,0.015,0.040,0.046,0.055,0.047,0.046,0.009
'1475456813692768264,There is currently a new #metoo wave in Serbia called #NisamPrijavila (I haven't reported it) where many brave women and girls share their sexual harassment stories trying to draw attention to government and institutions to do their job and protect victims,0.009,0.030,0.025,0.073,0.005,0.016,0.009,0.063,0.058,0.028,0.007,0.025,0.024,0.050,0.019,0.009
'1475456772047613967,"Ne mojte slucajno da prokomentarisete nesto na ovo sto ""uticajni tviterasi"" ismejavaju zene koje su napisale #NisamPrijavila jer je l te gde da se njima zamerite",0.018,0.074,0.055,0.116,0.065,0.024,0.077,0.058,0.013,0.032,0.005,0.052,0.074,0.075,0.083,0.084
'1475456438277394440,"Ćerka, 10 godina, mi priča kako su 3 dečaka, njeni vršnjaci iz kraja, šutirali kuju lutalicu, koja sad neće da priđe ni jednom čoveku, čak i ako joj nude hranu. Rekla sam joj da se kloni tih dečaka. Tako pocinje #NisamPrijavila",0.010,0.127,0.008,0.066,0.051,0.009,0.070,0.070,0.026,0.063,0.045,0.041,0.031,0.048,0.035,0.068
'1475456335449935878,"#NisamPrijavila 
opis samog događaja sam donekle ublažila, izbegla neke eksplicitne delove, tako da je sve bilo užasnije i za mene mnogo stresnije.",0.031,0.124,0.030,0.036,0.158,0.043,0.129,0.048,0.057,0.028,0.023,0.085,0.005,0.025,0.032,0.053
'1475455955290804224,"👉 Savete za žrtve spajkinga donosi naš psiholog Leo Ivanišević
Ukoliko ti je potrebna psihološka podrška, možeš nam se slobodno obratiti! 
https://t.co/u21is644lA
#regeneracija #regeneration #spajking #nisamprijavila",0.100,0.112,0.011,0.073,0.061,0.008,0.047,0.025,0.033,0.008,0.010,0.050,0.013,0.017,0.093,0.029
'1475455919194525697,"Twitterom se ovih dana počeo širiti hashtag #NisamPrijavila, putem kojeg žene iz čitave regije iznose razloge zbog kojih nisu prijavile seksualno uznemiravanje i zlostavljanje
https://t.co/lG0aYNwCuf",0.005,0.114,0.027,0.066,0.082,0.024,0.079,0.044,0.046,0.003,0.034,0.069,0.046,0.027,0.051,0.016
'1475455468298543112,"😳 
slična priča sa nastavnikom tehničkog u mojoj školi. 
a zašto #NisamPrijavila ? Jer nisam znala da nije bilo potrebno da na sekciji fotografije mota film naslonjen oko mene, dahćući i bilo je tu još djaka u komori. Posle je vodio drugaricu u šumu i tek kasnije suspendovan. https://t.co/EOeKBHc3S4",0.049,0.098,0.054,0.062,0.038,0.003,0.077,0.049,0.040,0.016,0.041,0.054,0.054,0.049,0.066,0.031
'1475455267244498951,"Odlučio sam da i ja napišem jedan dio svoje priče vezano za #NisamPrijavila.
Moja majka nije prijavila. Skoro 30 godina je u braku sa mojim ocem, skoro 30 godina svakodnevnog fizičkog i psihičkog nasilja. Mi djeca smo sve to gledali i nakon nje sledeća meta smo bili mi.",0.030,0.094,0.038,0.018,0.059,0.040,0.111,0.078,0.029,0.011,0.018,0.037,0.009,0.025,0.021,0.027
'1475455194842476546,Thousands of women and girls from the Balkans have been sharing their experience on reporting the cases of physical abuse using the hashtag #NisamPrijavila. https://t.co/PeSSg0lOBz,0.003,0.057,0.064,0.071,0.004,0.044,0.025,0.013,0.029,0.005,0.070,0.016,0.021,0.049,0.023,0.031
'1475455019939876865,"Ovo ne spada možda toliko u #NisamPrijavila, ali hajde da pričamo o tome koliko je neumesno da komentarišete nečije oblačenje. Redovno sam doživljavala pitanja ""Za koga si se to tako sredila"" kad god bih obukla suknju ili haljinu u školi, i na fakultetu",0.027,0.132,0.060,0.017,0.103,0.047,0.062,0.033,0.047,0.009,0.000,0.063,0.006,0.054,0.006,0.008
'1475454894240931840,"Za #NisamPrijavila  imam da izjavim sledece:
""To sto su se grozno ponasali prema tebi, ne znaci da si to zasluzila.""",0.001,0.173,0.118,0.041,0.087,0.039,0.127,0.000,0.031,0.020,0.007,0.033,0.112,0.038,0.030,0.007
'1475454883734163459,"Ja moram ne vredi.
Nikad ovo nisam hteo da napišem,ali moram. Više puta su mi devojke tražile da ih silujem,ne zajebavam se pročitaj opet. Čisto da imate u vidu.
#NisamPrijavila",0.012,0.071,0.013,0.014,0.119,0.065,0.059,0.092,0.043,0.004,0.020,0.007,0.053,0.001,0.042,0.008
'1475454840931237895,"#nisamprijavila je trenutak da se prisetimo nesrećne žene u Zablaću koju je muž tukao motkom na kojoj je bio zakucan ekser, otkinuo joj uvo, i tako celu isprebijanu je golu ostavio kraj kontejnera. Jezivi slučajevi su svuda oko nas.",0.048,0.112,0.032,0.000,0.094,0.001,0.086,0.046,0.035,0.020,0.036,0.067,0.019,0.038,0.042,0.079
'1475454391679336451,"Grozno je sto u mnogim situacijama i kada smognu snage da kazu nekome od svojih najblizih, nailaze na nerazumevanje i odmahivanje rukom. I onda i odatle #NisamPrijavila 
Jos gore je sto #NisamPrijavila i #PrijavilaSam imaju isti ishod u ovoj drzavi, ovo drugo mozda cak i gori.",0.001,0.089,0.054,0.020,0.059,0.041,0.118,0.092,0.006,0.050,0.032,0.107,0.026,0.041,0.039,0.021
'1475454134082019340,"prosto je nemoguće da se položaj žene, od doba koje je opisano u seriji “Nečista krv” do danas vrlo malo promenio .. ako ne verujete pogledajte ispovesti #NisamPrijavila Sramotu vekova još uvek živimo..",0.083,0.096,0.034,0.036,0.088,0.032,0.060,0.066,0.003,0.010,0.019,0.046,0.030,0.102,0.007,0.027
'1475454041656279052,"#NisamPrijavila
Nije lepo lagati @[user]. U policiji nije bilo onako kako si ti napisala zar ne?
https://t.co/2JC1iZeqPy",0.072,0.123,0.027,0.054,0.076,0.017,0.107,0.062,0.049,0.009,0.016,0.045,0.008,0.037,0.030,0.028
'1475453880544772098,Quotovi pojedinih muških kreatura na #NisamPrijavila tvitove mogu biti uvršteni u moju knjigu Why men deserve nothing,0.027,0.075,0.013,0.074,0.123,0.007,0.086,0.026,0.025,0.022,0.019,0.024,0.015,0.044,0.072,0.028
'1475453799649193987,"Važan podsetnik je da, dok čitamo #NisamPrijavila tvitove, ni u jednom trenutku ne zaboravimo da razlog zašto bilo koja žena nije prijavila ne leži u njoj, njenim osobinama i slično, već u sistemu koji normalizuje nasilje, te ženama niti veruje niti ih štiti kada nasilje prijave.",0.009,0.108,0.049,0.062,0.063,0.015,0.100,0.036,0.001,0.002,0.032,0.072,0.013,0.027,0.078,0.069
'1475453289261060102,"#NisamPrijavila da je jedna meni jako bliska osoba probala da me uznemirava kada smo bili deca, instiktivno sam odgovorila nasiljem pa toj osobi nikada više nije palo na pamet da tako nešto ponovi. Nikome nisam rekla jer nisam osećala da bi mi iko poverovao.",0.022,0.092,0.008,0.041,0.137,0.053,0.091,0.028,0.049,0.008,0.002,0.048,0.003,0.032,0.002,0.050
'1475452754344689664,#NisamPrijavila Verujem ti. https://t.co/j243ztOyXl,0.055,0.127,0.036,0.042,0.079,0.012,0.059,0.037,0.046,0.002,0.012,0.026,0.016,0.009,0.049,0.015
'1475452611801268230,"U osnovnoj školi sam iskusila vid seksualnog nasilja od strane vršnjaka na rekreativnoj nastavi, da bi mi učiteljice rekle kako samo tako dečaci iskazuju da im se sviđaš, i posle zašto #NisamPrijavila kada sam postala svesna da mi niko ne bi verovao.",0.016,0.085,0.045,0.029,0.104,0.071,0.082,0.054,0.003,0.020,0.019,0.060,0.009,0.024,0.035,0.051
'1475452361426493458,"""Ja imam ljude svuda. Mala misliš li da si jedina? Ti si me na ovo naćerala. Ja sam stari, ugledni doktor. Poješće te mrak."" 
Eto zato, #NisamPrijavila",0.002,0.149,0.017,0.007,0.084,0.056,0.129,0.012,0.062,0.022,0.032,0.020,0.031,0.002,0.041,0.003
'1475452083071561738,"Takođe #NisamPrijavila kada se jedan muškarac trljao od mene u prepunom gradskom autobusu jer sam bila ubeđena da zbog gužve nije mogao dalje od mene da stane, a ja se paralisala od straha.",0.031,0.089,0.050,0.066,0.123,0.012,0.107,0.081,0.026,0.025,0.019,0.077,0.020,0.039,0.086,0.035
'1475452008572362756,"I da, da dodam još ovo, prijavila sam HR-u firme da menadžer šalje slike u gaćama radnicama, nisam dobila nikakav odgovor. #nisamprijavila",0.056,0.105,0.053,0.056,0.070,0.028,0.083,0.059,0.014,0.048,0.010,0.083,0.026,0.007,0.003,0.018
